,Unnamed: 0,Facility.Name,APR.Severity.of.Illness.Code,mean_cost_dif,mean_charge_dif,Facility.Id,address,latitude,longitude
15,16,St James Mercy Hospital,3,-0.75572245302001,-0.739339970044464,870,411 Canisteo Street,42.314438,-77.660164
16,17,United Memorial Medical Center North Street Campus,4,-0.754856912861912,-0.767308143816078,339,127 North St,43.00404,-78.177475
17,18,Bellevue Hospital Center,0,-0.750478220802413,-0.835993268709674,1438,125 Worth Street,40.739605,-73.976509
18,19,RUMC-Bayley Seton,4,-0.750335474280345,-0.720356765896636,1473,355 Bard Avenue,40.621376,-74.07476
19,20,South Nassau Communities Hospital,0,-0.746828173230634,-0.564221548630524,527,2445 Oceanside Road,40.649601,-73.6315
20,21,TLC Health Network Lake Shore Hospital,3,-0.735913758096225,-0.838163664799136,114,NA,NA,NA
21,22,Oswego Hospital - Alvin L Krakau Comm Mtl Health Center Div,3,-0.735195996690223,-0.806864511443438,12,110 West Sixth Street,43.459419,-76.506788
22,23,Nathan Littauer Hospital,0,-0.734791504726489,-0.809283048676192,330,99 East State Street,43.068096,-74.330643
23,24,St James Mercy Hospital,2,-0.718832632872827,-0.688716646515607,870,411 Canisteo Street,42.314438,-77.660164
24,25,Oswego Hospital - Alvin L Krakau Comm Mtl Health Center Div,1,-0.713465561696497,-0.771603692233711,12,110 West Sixth Street,43.459419,-76.506788
25,26,Aurelia Osborn Fox Memorial Hospital,4,-0.711629797570994,-0.772862336323766,739,One Norton Avenue,42.457405,-75.053261
26,27,Bronx-Lebanon Hospital Center - Fulton Division,4,-0.708756235056998,-0.89293974966866,1164,1276 Fulton Avenue,40.831772,-73.903656
27,28,St James Mercy Hospital,1,-0.694500250175637,-0.661144203488746,870,411 Canisteo Street,42.314438,-77.660164
28,29,St. Joseph's Hospital,4,-0.691412378838486,-0.629294889650291,118,600 Roe Avenue,42.091446,-76.79686
29,30,Ira Davenport Memorial Hospital Inc,4,-0.691304944276416,-0.752210990831111,873,Po Box 350 Route 54,42.372952,-77.278656
30,31,Albany Medical Center Hospital,0,-0.690357755624228,-0.785355398471179,1,New Scotland Avenue,42.65337,-73.773834
31,32,Alice Hyde Medical Center,4,-0.689110853531102,-0.758507331618435,325,115 Park St,44.85677,-74.291893
32,33,Long Island Jewish Medical Center,0,-0.683852599081279,-0.618358147099496,1630,270-05 76 Avenue,,
33,34,Soldiers and Sailors Memorial Hospital of Yates County Inc,4,-0.68321013271712,-0.802089592818178,1158,418 North Main St,42.670712,-77.059822
34,35,Flushing Hospital Medical Center,0,-0.66226779465301,-0.591368690329291,1628,45th Avenue And Parsons Boulevard,40.755531,-73.815475
35,36,Oswego Hospital - Alvin L Krakau Comm Mtl Health Center Div,2,-0.661790412750119,-0.746950158336467,12,110 West Sixth Street,43.459419,-76.506788
36,37,Bertrand Chaffee Hospital,3,-0.661633796965652,-0.753487331007582,280,224 East Main Street,42.508575,-78.659103
37,38,SJRH - Park Care Pavilion,3,-0.660052005575073,-0.661920307384887,1099,967 North Broadway,40.939613,-73.892181
38,39,Ellenville Regional Hospital,4,-0.659259199169494,-0.814195024915725,1002,"Rte 209,Shoprite Blvd",41.732235,-74.380661
39,40,Aurelia Osborn Fox Memorial Hospital,3,-0.65774537726994,-0.725470267945612,739,One Norton Avenue,42.457405,-75.053261
40,41,TLC Health Network Lake Shore Hospital,2,-0.651689677272473,-0.77535274412702,114,NA,NA,NA
41,42,United Memorial Medical Center North Street Campus,3,-0.650889597949452,-0.642097831948775,339,127 North St,43.00404,-78.177475
42,43,Delaware Valley Hospital Inc,4,-0.646825311566793,-0.709785878994367,174,1 Titus Place,42.165611,-75.12812
43,44,Lincoln Medical & Mental Health Center,0,-0.638319963530268,-0.809392991545817,1172,125 Worth Street,40.817661,-73.92421
44,45,UPMC Chautauqua at WCA,3,-0.638189833647857,-0.77809865583309,102,207 Foote Avenue,42.091541,-79.245094
45,46,St. Joseph's Hospital,3,-0.63752130544083,-0.581073936700699,118,600 Roe Avenue,42.091446,-76.79686
46,47,Auburn Community Hospital,4,-0.628417168269633,-0.613176326358328,85,Lansing Street,42.940811,-76.564758
47,48,United Memorial Medical Center North Street Campus,1,-0.623771217537251,-0.583747327124343,339,127 North St,43.00404,-78.177475
48,49,Little Falls Hospital,4,-0.62367057025793,-0.800194845741879,362,140 Burwell Street,43.043964,-74.847458
49,50,Corning Hospital,4,-0.622523869943357,-0.627044159671637,866,South Wilbur Ave,42.141293,-77.047562
50,51,"Rome Memorial Hospital, Inc",4,-0.617213541245207,-0.51761154674001,589,1500 North James Street,43.229935,-75.443466
51,52,UPMC Chautauqua at WCA,4,-0.615916520606921,-0.724719659580783,103,207 Foote Avenue,42.091236,-79.232872
52,53,United Memorial Medical Center North Street Campus,2,-0.610433701221277,-0.57497022200127,339,127 North St,43.00404,-78.177475
53,54,Medina Memorial Hospital,1,-0.606947398138899,-0.699255128417152,718,500 Ohio Street,43.223637,-78.397141
54,55,Newark-Wayne Community Hospital,4,-0.60213651100411,-0.598452031246736,1028,Driving Park Avenue    Box 111,43.059728,-77.102244
55,56,Bertrand Chaffee Hospital,2,-0.601288652093589,-0.713900798646852,280,224 East Main Street,42.508575,-78.659103
56,57,Aurelia Osborn Fox Memorial Hospital,2,-0.591232036887136,-0.686718137077898,739,One Norton Avenue,42.457405,-75.053261
57,58,TLC Health Network Lake Shore Hospital,1,-0.588120175830051,-0.733434845654893,114,NA,NA,NA
58,59,Clifton Springs Hospital and Clinic,4,-0.587604439202811,-0.777008835862937,676,2 Coulter Road,42.960537,-77.138863
59,60,St Josephs Hospital Health Center,0,-0.583379608865226,-0.747021066945951,630,301 Prospect Avenue,43.055744,-76.149384
60,61,Bertrand Chaffee Hospital,1,-0.583368902373247,-0.704145280212106,280,224 East Main Street,42.508575,-78.659103
61,62,Monroe Community Hospital,2,-0.578306801484596,-0.746899404153226,414,111 Westfall Road,43.112251,-77.616165
62,63,Nicholas H Noyes Memorial Hospital,4,-0.578268342916887,-0.677104206533903,393,111 Clara Barton Street,42.551964,-77.700195
63,64,Schuyler Hospital,2,-0.573773276444843,-0.774099867938472,858,Montour & Townsend Line Road,42.351536,-76.858627
64,65,United Memorial Medical Center Bank Street Campus,3,-0.573655224169328,-0.674426743455179,340,127 North St,42.998436,-78.181587
65,66,St. Peter's Addiction Recovery Center,3,-0.572107762795319,-0.681570641292727,9431,315 South Manning Blvd,42.701252,-73.904968
66,67,Community Memorial Hospital Inc,4,-0.569780280048275,-0.820717779428023,401,150 Broad Street,42.814011,-75.541962
67,68,Medina Memorial Hospital,3,-0.569618021549628,-0.703587743348314,718,500 Ohio Street,43.223637,-78.397141
68,69,TLC Health Network Lake Shore Hospital,4,-0.567214518912206,-0.753048907630074,114,NA,NA,NA
69,70,Carthage Area Hospital Inc,4,-0.561935285701578,-0.705101605715046,379,West Street Rd,43.986073,-75.595421
70,71,UPMC Chautauqua at WCA,1,-0.55981199153533,-0.67209745979137,103,207 Foote Avenue,42.091236,-79.232872
71,72,Alice Hyde Medical Center,3,-0.559691431287446,-0.630188537163186,325,115 Park St,44.85677,-74.291893
72,73,Schuyler Hospital,4,-0.557772746610832,-0.787080156731951,858,Montour & Townsend Line Road,42.351536,-76.858627
73,74,Schuyler Hospital,3,-0.557352009337839,-0.788924941897391,858,Montour & Townsend Line Road,42.351536,-76.858627
74,75,Medina Memorial Hospital,4,-0.554707704923173,-0.745047336737028,718,500 Ohio Street,43.223637,-78.397141
75,76,United Health Services Hospitals Inc. - Binghamton General Hospital,4,-0.554472183985123,-0.580006842845756,42,Po Box 54o,42.088062,-75.91423
76,77,Albany Medical Center - South Clinical Campus,2,-0.553963438719547,-0.553341929338906,2,New Scotland Avenue,42.645485,-73.77829
77,78,Auburn Community Hospital,3,-0.553164293440439,-0.519953140407169,85,Lansing Street,42.940811,-76.564758
78,79,Alice Hyde Medical Center,2,-0.550902676603356,-0.558392412865671,325,115 Park St,44.85677,-74.291893
79,80,Nathan Littauer Hospital,4,-0.549764124790286,-0.52055874066702,330,99 East State Street,43.068096,-74.330643
80,81,United Health Services Hospitals Inc. - Wilson Medical Center,4,-0.54787518892142,-0.541834628611068,58,Po Box 54o,42.115063,-75.959122
81,82,SJRH - Park Care Pavilion,2,-0.546701587323366,-0.528056023949391,1099,967 North Broadway,40.939613,-73.892181
82,83,Schuyler Hospital,1,-0.544082416758888,-0.758296562747922,858,Montour & Townsend Line Road,42.351536,-76.858627
83,84,Newark-Wayne Community Hospital,3,-0.543336596346052,-0.531342710302762,1028,Driving Park Avenue    Box 111,43.059728,-77.102244
84,85,RUMC-Bayley Seton,3,-0.542698183965872,-0.500107811325882,1473,355 Bard Avenue,40.621376,-74.07476
85,86,Good Samaritan Hospital of Suffern,0,-0.541720021980092,-0.472896543032062,779,Route 59,41.112255,-74.133003
86,87,RUMC-Bayley Seton,1,-0.539132893181158,-0.471076331557298,1473,355 Bard Avenue,40.621376,-74.07476
87,88,UPMC Chautauqua at WCA,3,-0.535428886693148,-0.678058523975083,103,207 Foote Avenue,42.091236,-79.232872
88,89,St. Mary's Healthcare - Amsterdam Memorial Campus,4,-0.535149075336288,-0.693785058121731,482,427 Guy Park Ave,42.961201,-74.186272
89,90,Our Lady of Lourdes Memorial Hospital Inc,0,-0.534216203251132,-0.224545241952064,43,169 Riverside Drive,42.092606,-75.935646
90,91,Medina Memorial Hospital,2,-0.533816862251091,-0.653538307731876,718,500 Ohio Street,43.223637,-78.397141
91,92,Catskill Regional Medical Center,4,-0.532402114657276,-0.453923231037727,971,Route 97,41.706588,-74.735987
92,93,New York Eye and Ear Infirmary of Mount Sinai,2,-0.527015690744915,-0.419385386603397,1460,310 East 14 St,40.732189,-73.984711
93,94,St. Joseph's Hospital,2,-0.526778776395935,-0.482581255112944,118,600 Roe Avenue,42.091446,-76.79686
94,95,Ira Davenport Memorial Hospital Inc,3,-0.526672731175681,-0.60021088750365,873,Po Box 350 Route 54,42.372952,-77.278656
95,96,Aurelia Osborn Fox Memorial Hospital,1,-0.524790809139542,-0.662794452215047,739,One Norton Avenue,42.457405,-75.053261
96,97,Oneida Healthcare,4,-0.520382606589808,-0.655048398968034,397,323 Genesee Street,43.07869,-75.654449
97,98,Highland Hospital,4,-0.518530567910777,-0.572417573275489,409,601 Elmwood Avenue,43.135769,-77.607544
98,99,Alice Hyde Medical Center,1,-0.516660919961422,-0.531159039257937,325,115 Park St,44.85677,-74.291893
99,100,Auburn Community Hospital,2,-0.516309859552982,-0.461680694819733,85,Lansing Street,42.940811,-76.564758
100,101,Cuba Memorial Hospital Inc,2,-0.515319193783718,-0.815113917076464,37,140 West Main St,42.213474,-78.287506
101,102,Cobleskill Regional Hospital,4,-0.514782859835394,-0.712535772077166,851,34 Grandview Drive,42.68683,-74.481976
102,103,UPMC Chautauqua at WCA,2,-0.512848897868482,-0.647121914428386,103,207 Foote Avenue,42.091236,-79.232872
103,104,United Health Services Hospitals Inc. - Wilson Medical Center,2,-0.506845962725151,-0.515139495210963,58,Po Box 54o,42.115063,-75.959122
104,105,Chenango Memorial Hospital Inc,4,-0.504124309539513,-0.541240465401642,128,179 North Broad Street,42.541813,-75.524773
105,106,The Burdett Care Center,3,-0.503479930729779,-0.621618089541059,9250,NA,NA,NA
106,107,United Health Services Hospitals Inc. - Wilson Medical Center,3,-0.503052740358934,-0.529192258948647,58,Po Box 54o,42.115063,-75.959122
107,108,RUMC-Bayley Seton,2,-0.502905881111932,-0.448592440935314,1473,355 Bard Avenue,40.621376,-74.07476
108,109,UPMC Chautauqua at WCA,2,-0.501999286694118,-0.688893239893301,102,207 Foote Avenue,42.091541,-79.245094
109,110,Putnam Hospital Center,4,-0.501194287202847,-0.398451777778021,752,Stoneleigh Avenue,41.384766,-73.664413
110,111,Corning Hospital,3,-0.499877796115849,-0.551931193600665,866,South Wilbur Ave,42.141293,-77.047562
111,112,"Rome Memorial Hospital, Inc",3,-0.497997603341112,-0.362280419389213,589,1500 North James Street,43.229935,-75.443466
112,113,Niagara Falls Memorial Medical Center,4,-0.496633736484277,-0.565857212007049,574,621 Tenth St,43.094048,-79.0504
113,114,Ellenville Regional Hospital,3,-0.496198960992959,-0.688097505985515,1002,"Rte 209,Shoprite Blvd",41.732235,-74.380661
114,115,Columbia Memorial Hospital,4,-0.495432901743278,-0.531213811155173,146,71 Prospect Avenue,42.246239,-73.776306
115,116,St. Joseph's Hospital,1,-0.491305842370398,-0.473881419043824,118,600 Roe Avenue,42.091446,-76.79686
116,117,Albany Medical Center - South Clinical Campus,1,-0.489614984829674,-0.490561021591686,2,New Scotland Avenue,42.645485,-73.77829
117,118,Nathan Littauer Hospital,3,-0.489412703819622,-0.3720857405824,330,99 East State Street,43.068096,-74.330643
118,119,Clifton Springs Hospital and Clinic,1,-0.488776298291001,-0.654435551457203,676,2 Coulter Road,42.960537,-77.138863
119,120,Gouverneur Hospital,4,-0.486561227541921,-0.796063335940359,812,c/o Canton-Potsdam Hospital,44.338207,-75.474411
120,121,Highland Hospital,2,-0.485918294180033,-0.553022692961071,409,601 Elmwood Avenue,43.135769,-77.607544
121,122,F F Thompson Hospital,3,-0.485884637233724,-0.615294131031697,678,350 Parrish Street,42.875027,-77.289818
122,123,F F Thompson Hospital,1,-0.485484383755077,-0.565998250817885,678,350 Parrish Street,42.875027,-77.289818
123,124,Highland Hospital,3,-0.485402645678049,-0.546248135914057,409,601 Elmwood Avenue,43.135769,-77.607544
124,125,Highland Hospital,1,-0.481977749972482,-0.560042584105786,409,601 Elmwood Avenue,43.135769,-77.607544
125,126,St Joseph's Medical Center,4,-0.480721083161915,-0.661843964626574,1098,127 S Broadway,40.929512,-73.896957
126,127,Clifton Springs Hospital and Clinic,3,-0.478148711514531,-0.70235059840202,676,2 Coulter Road,42.960537,-77.138863
127,128,"Rome Memorial Hospital, Inc",2,-0.477124492493255,-0.308394954502798,589,1500 North James Street,43.229935,-75.443466
128,129,Cobleskill Regional Hospital,3,-0.477068168799591,-0.655747064657233,851,34 Grandview Drive,42.68683,-74.481976
129,130,United Memorial Medical Center Bank Street Campus,2,-0.47692898933223,-0.594561758528824,340,127 North St,42.998436,-78.181587
130,131,United Health Services Hospitals Inc. - Binghamton General Hospital,3,-0.476864355261475,-0.51131740908789,42,Po Box 54o,42.088062,-75.91423
131,132,Chenango Memorial Hospital Inc,3,-0.476828372690396,-0.382771232922791,128,179 North Broad Street,42.541813,-75.524773
132,133,Newark-Wayne Community Hospital,2,-0.476158380618967,-0.449432888690566,1028,Driving Park Avenue    Box 111,43.059728,-77.102244
133,134,The Burdett Care Center,2,-0.474532282943378,-0.595822493065577,9250,NA,NA,NA
134,135,Samaritan Hospital,4,-0.472397010510312,-0.51018691865838,756,2215 Burdett Avenue,42.733574,-73.671455
135,136,Degraff Memorial Hospital,4,-0.471917470859253,-0.540132080337819,581,100 High Street,43.026154,-78.862457
136,137,Geneva General Hospital,4,-0.469724352725503,-0.552111166894645,671,196 198 North Street,42.875748,-76.987427
137,138,New York Eye and Ear Infirmary of Mount Sinai,1,-0.469489578711629,-0.315345575920804,1460,310 East 14 St,40.732189,-73.984711
138,139,Newark-Wayne Community Hospital,1,-0.468227940043419,-0.4216317309574,1028,Driving Park Avenue    Box 111,43.059728,-77.102244
139,140,Oneida Healthcare,2,-0.465367013817638,-0.532012595573481,397,323 Genesee Street,43.07869,-75.654449
140,141,Auburn Community Hospital,1,-0.46483662423829,-0.40183660673935,85,Lansing Street,42.940811,-76.564758
141,142,F F Thompson Hospital,2,-0.464223574801605,-0.572735755837125,678,350 Parrish Street,42.875027,-77.289818
142,143,Kenmore Mercy Hospital,3,-0.462796590995157,-0.493466173945566,267,2950 Elmwood Avenue,42.977848,-78.878754
143,144,United Health Services Hospitals Inc. - Wilson Medical Center,1,-0.460471057392174,-0.479014766977311,58,Po Box 54o,42.115063,-75.959122
144,145,Clifton Springs Hospital and Clinic,2,-0.455385938808348,-0.66368851781194,676,2 Coulter Road,42.960537,-77.138863
145,146,Oneida Healthcare,3,-0.455097265223389,-0.548667829964419,397,323 Genesee Street,43.07869,-75.654449
146,147,Samaritan Medical Center,4,-0.453756314813995,-0.462491986301728,367,830 Washington St,43.964928,-75.912827
147,148,Claxton-Hepburn Medical Center,4,-0.450502174310655,-0.711042590983441,798,214 King Street,44.692039,-75.499908
148,149,Kenmore Mercy Hospital,4,-0.449880787950488,-0.454850856552218,267,2950 Elmwood Avenue,42.977848,-78.878754
149,150,The University of Vermont Health Network - Elizabethtown Community Hospital,4,-0.449572811736376,-0.769001993167319,303,Park Street,44.215466,-73.596558
150,151,"Rome Memorial Hospital, Inc",1,-0.449260490794816,-0.258812420231366,589,1500 North James Street,43.229935,-75.443466
151,152,Mount St Marys Hospital and Health Center,4,-0.444792544907916,-0.696068058425385,583,5300 Military Road,43.154659,-79.030556
152,153,F F Thompson Hospital,4,-0.444699876247612,-0.595689430220814,678,350 Parrish Street,42.875027,-77.289818
153,154,Kenmore Mercy Hospital,2,-0.444161425180518,-0.484640930701964,267,2950 Elmwood Avenue,42.977848,-78.878754
154,155,The Burdett Care Center,1,-0.442990470475361,-0.577100637094356,9250,NA,NA,NA
155,156,Niagara Falls Memorial Medical Center,2,-0.438872413684684,-0.554587053630031,574,621 Tenth St,43.094048,-79.0504
156,157,UPMC Chautauqua at WCA,1,-0.434588520862173,-0.650071965608087,102,207 Foote Avenue,42.091541,-79.245094
157,158,Samaritan Hospital,3,-0.433268073223556,-0.460491081875159,756,2215 Burdett Avenue,42.733574,-73.671455
158,159,Soldiers and Sailors Memorial Hospital of Yates County Inc,3,-0.433214988243267,-0.652150508710204,1158,418 North Main St,42.670712,-77.059822
159,160,United Health Services Hospitals Inc. - Binghamton General Hospital,2,-0.432869492707542,-0.4786233202316,42,Po Box 54o,42.088062,-75.91423
160,161,Columbia Memorial Hospital,1,-0.431647264886816,-0.427108500800973,146,71 Prospect Avenue,42.246239,-73.776306
161,162,Cortland Regional Medical Center Inc,2,-0.42999859449229,-0.631695036014703,158,134 Homer Avenue,42.609051,-76.186195
162,163,Delaware Valley Hospital Inc,3,-0.427957195655004,-0.628819378502024,174,1 Titus Place,42.165611,-75.12812
163,164,St. Peter's Addiction Recovery Center,2,-0.42793109741563,-0.585830854954747,9431,315 South Manning Blvd,42.701252,-73.904968
164,165,Albany Memorial Hospital,4,-0.426868797535353,-0.563245910973664,4,2215 Burdett Avenue,42.674271,-73.749268
165,166,St. Mary's Healthcare,4,-0.42592298280384,-0.568165292358521,484,427 Guy Park Ave,42.953758,-74.216194
166,167,Nicholas H Noyes Memorial Hospital,1,-0.425713428280952,-0.569857568390458,393,111 Clara Barton Street,42.551964,-77.700195
167,168,Canton-Potsdam Hospital,4,-0.424704869285312,-0.649928666892715,815,50 Leroy St,44.676151,-74.981529
168,169,Columbia Memorial Hospital,3,-0.422998370739904,-0.46570073321459,146,71 Prospect Avenue,42.246239,-73.776306
169,170,St. Mary's Hospital,4,-0.421939525237431,-0.294255332929184,755,2215 Burdett Avenue,42.743382,-73.675735
170,171,New York Eye and Ear Infirmary of Mount Sinai,3,-0.421026166024132,-0.296905117793934,1460,310 East 14 St,40.732189,-73.984711
171,172,Niagara Falls Memorial Medical Center,3,-0.419761961184425,-0.528897892511832,574,621 Tenth St,43.094048,-79.0504
172,173,St. Mary's Healthcare,1,-0.418830298012828,-0.484317997760001,484,427 Guy Park Ave,42.953758,-74.216194
173,174,St. Mary's Healthcare,3,-0.416246832189846,-0.517246286982347,484,427 Guy Park Ave,42.953758,-74.216194
174,175,Nicholas H Noyes Memorial Hospital,3,-0.416159982016106,-0.594398306592798,393,111 Clara Barton Street,42.551964,-77.700195
175,176,Kenmore Mercy Hospital,1,-0.416150413234555,-0.486694700696588,267,2950 Elmwood Avenue,42.977848,-78.878754
176,177,Nicholas H Noyes Memorial Hospital,2,-0.415023850479509,-0.591011700914991,393,111 Clara Barton Street,42.551964,-77.700195
177,178,Columbia Memorial Hospital,2,-0.414422028041994,-0.436185816474828,146,71 Prospect Avenue,42.246239,-73.776306
178,179,Cortland Regional Medical Center Inc,3,-0.413689478785131,-0.643378211476381,158,134 Homer Avenue,42.609051,-76.186195
179,180,"New York Community Hospital of Brooklyn, Inc",4,-0.413064042132317,-0.455403330468817,1293,2525 Kings Highway,40.613419,-73.948967
180,181,Our Lady of Lourdes Memorial Hospital Inc,4,-0.412987929381791,-0.520875714173147,43,169 Riverside Drive,42.092606,-75.935646
181,182,Arnot Ogden Medical Center,4,-0.411825734032838,-0.413765110657786,116,600 Roe Avenue,42.099285,-76.826782
182,183,Crouse Hospital,4,-0.409960762087826,-0.51742899760915,636,736 Irving Avenue,43.041107,-76.137932
183,184,Crouse Hospital,3,-0.409437149832845,-0.483782716979198,636,736 Irving Avenue,43.041107,-76.137932
184,185,Catskill Regional Medical Center,3,-0.408322008143181,-0.273209770619795,971,Route 97,41.706588,-74.735987
185,186,Our Lady of Lourdes Memorial Hospital Inc,3,-0.407749494146489,-0.494035169833227,43,169 Riverside Drive,42.092606,-75.935646
186,187,St. Mary's Healthcare,2,-0.404921468946296,-0.486232615129485,484,427 Guy Park Ave,42.953758,-74.216194
187,188,Olean General Hospital,4,-0.404805022411604,-0.661892110520256,66,515 Main Street,42.089844,-78.42688
188,189,Oneida Healthcare,1,-0.404202014790167,-0.480772669987054,397,323 Genesee Street,43.07869,-75.654449
189,190,The Unity Hospital of Rochester,4,-0.403328360844583,-0.571874004170085,471,1555 Long Pond Road,43.191551,-77.701538
190,191,Nathan Littauer Hospital,1,-0.399325185681233,-0.311616481148069,330,99 East State Street,43.068096,-74.330643
191,192,Chenango Memorial Hospital Inc,2,-0.397691932099738,-0.255232403140897,128,179 North Broad Street,42.541813,-75.524773
192,193,Crouse Hospital,1,-0.39683755114077,-0.44136630239924,636,736 Irving Avenue,43.041107,-76.137932
193,194,Arnot Ogden Medical Center,2,-0.394910314762541,-0.380244259220319,116,600 Roe Avenue,42.099285,-76.826782
194,195,Arnot Ogden Medical Center,1,-0.394652462086138,-0.353052845164687,116,600 Roe Avenue,42.099285,-76.826782
195,196,Cortland Regional Medical Center Inc,4,-0.39242184001722,-0.670316071448543,158,134 Homer Avenue,42.609051,-76.186195
196,197,Arnot Ogden Medical Center,3,-0.392416560493175,-0.386762450332603,116,600 Roe Avenue,42.099285,-76.826782
197,198,Putnam Hospital Center,3,-0.391941881498546,-0.250059385020367,752,Stoneleigh Avenue,41.384766,-73.664413
198,199,Cayuga Medical Center at Ithaca,4,-0.390630704136278,-0.707619027635306,977,1285 Trumansburg Road,42.469826,-76.536896
199,200,St Peters Hospital,4,-0.388657419595413,-0.330571711667054,5,315 South Manning Blvd,42.657539,-73.803879
200,201,Massena Memorial Hospital,4,-0.38689596487445,-0.743809744136717,804,1 Hospital Drive,44.936363,-74.907951
201,202,Olean General Hospital,3,-0.385764530354416,-0.656096824785802,66,515 Main Street,42.089844,-78.42688
202,203,Richmond University Medical Center,4,-0.385181754031074,-0.223216311006859,1738,355 Bard Avenue,40.635807,-74.106674
203,204,Corning Hospital,1,-0.385129065452651,-0.4333642486499,866,South Wilbur Ave,42.141293,-77.047562
204,205,Cayuga Medical Center at Ithaca,3,-0.384220903824151,-0.690066399584142,977,1285 Trumansburg Road,42.469826,-76.536896
205,206,Corning Hospital,2,-0.383620364055617,-0.439090463927962,866,South Wilbur Ave,42.141293,-77.047562
206,207,Crouse Hospital,2,-0.380170539747914,-0.434657320374498,636,736 Irving Avenue,43.041107,-76.137932
207,208,Millard Fillmore Suburban Hospital,3,-0.375850817300088,-0.506635694253613,3067,100 High Street,42.991219,-78.72982
208,209,Nathan Littauer Hospital,2,-0.374638149081955,-0.240024839011861,330,99 East State Street,43.068096,-74.330643
209,210,Cortland Regional Medical Center Inc,1,-0.374244748692218,-0.598640213576861,158,134 Homer Avenue,42.609051,-76.186195
210,211,Montefiore Med Center - Jack D Weiler Hosp of A Einstein College Div,0,-0.373827265325738,0.38428254366831,3058,111 East 210th Street,40.849575,-73.845055
211,212,Albany Memorial Hospital,3,-0.373420669795704,-0.505730610908542,4,2215 Burdett Avenue,42.674271,-73.749268
212,213,HealthAlliance Hospital Broadway Campus,4,-0.372537417522761,-0.157810379336254,990,105 Mary's Avenue,41.92643,-73.995453
213,214,Geneva General Hospital,2,-0.370050931929072,-0.485834443893026,671,196 198 North Street,42.875748,-76.987427
214,215,Geneva General Hospital,3,-0.368883795223863,-0.506533283516588,671,196 198 North Street,42.875748,-76.987427
215,216,Catskill Regional Medical Center,2,-0.367003431662372,-0.2025854957781,971,Route 97,41.706588,-74.735987
216,217,Niagara Falls Memorial Medical Center,1,-0.366484977363489,-0.505697939691379,574,621 Tenth St,43.094048,-79.0504
217,218,Mount Sinai Hospital - Mount Sinai Hospital of Queens,4,-0.364791725111126,-0.383562409242035,1639,One Gustave L Levy Place,40.768269,-73.924461
218,219,St. Mary's Hospital,2,-0.364439119655878,-0.205516185103363,755,2215 Burdett Avenue,42.743382,-73.675735
219,220,Samaritan Hospital,2,-0.362300858426818,-0.399521342464748,756,2215 Burdett Avenue,42.733574,-73.671455
220,221,Chenango Memorial Hospital Inc,1,-0.361581814669577,-0.219662886718533,128,179 North Broad Street,42.541813,-75.524773
221,222,Vassar Brothers Medical Center,4,-0.360409359769804,-0.221950230626866,181,45 Reade Place,41.694523,-73.935799
222,223,Little Falls Hospital,3,-0.358809392967955,-0.641782808410808,362,140 Burwell Street,43.043964,-74.847458
223,224,Ellenville Regional Hospital,1,-0.356008894627057,-0.610594123752376,1002,"Rte 209,Shoprite Blvd",41.732235,-74.380661
224,225,Catskill Regional Medical Center,1,-0.355644329167963,-0.194096476919936,971,Route 97,41.706588,-74.735987
225,226,St. Mary's Hospital,3,-0.353958678829041,-0.213850212095857,755,2215 Burdett Avenue,42.743382,-73.675735
